'	exclamation	lex112884.1_ἒ
Kαρῶν	verb	lex31428.1_καρόω
Kαρῶν	noun	lex29357.1_κάρα
Kαρῶν	noun	lex29356.1_κάρ
Kαρῶν	noun	lex31436.1_καρώ
Tυραννίων	verb	lex76499.1_τυραννεύω
Tυραννίων	verb	lex76503.1_τυραννιάω
Xείρων	verb	lex80581.1_χειρόω
Xείρων	adjective	lex80380.1_χείρων
oἶς	noun	lex121741.1_ὄις
oὕτως	adverb	lex49931.1_οὕτως
xρόα	noun	lex81862.1_χρώς
xρόα	noun	lex81508.1_χροιά
¨ἰάχοντος	verb	lex115986.1_ἰάχω
¨ἰάχουσα	verb	lex115986.1_ἰάχω
¨ἰάχων	verb	lex115986.1_ἰάχω
¨ἰνίον	noun	lex116334.1_ἰνίον
¨ἰνίον	verb	lex116332.1_ἰνάω
¨ἰνίον	verb	lex116333.1_ἰνέω
¨ἵσας	verb	lex117777.1_ἵζω
¨ὁ	article	lex120807.1_ὁ
Άδου	noun	lex11593.1_άδος
ΐδε	noun	lex11598.1_ίδος
ΐδε	noun	http://data.perseus.org/collections/_ιδος
ΐδιον	noun	lex11597.1_ίδιον
ΐδμεν	verb	lex49627.1_οἶδα
ΐθι	verb	lex24364.1_εἶμι
ΐμεν	verb	lex24364.1_εἶμι
Αθηναίοις	adjective	http://data.perseus.org/collections/_Αθηναῖος
Αθηναίοις	adjective	http://data.perseus.org/collections/_Αθηναῖος
Αθηναῖοι	adjective	http://data.perseus.org/collections/_Αθηναῖος
Ασίας	noun	lex11606.1_ασία
Αφροδίτην	noun	http://data.perseus.org/collections/_Αφροδίτης
Αφροδίτην	noun	http://data.perseus.org/collections/_Αφροδίτης
Αφροδίτης	noun	http://data.perseus.org/collections/_Αφροδίτης
Αἰακίδην	noun	lex17.1_Αἰακίδης
Αἰακοῦ	noun	lex18.1_Αἰακός
Αἰακὸν	noun	lex18.1_Αἰακός
Αἰακῶν	noun	lex13.1_Αἰάκης
Αἰγέα	noun	lex42.1_Αἰγεύς
Αἰγέα	noun	lex33.1_Αἰγίς
Αἰγέα	adjective	lex12222.1_αἴγεος
Αἰγίσθου	noun	lex185.1_Αἴγισθος
Αἰγίσθω	noun	lex185.1_Αἴγισθος
Αἰγίσθῳ	noun	lex185.1_Αἴγισθος
Αἰγαίωνα	noun	lex36.1_Αἰγαίων
Αἰγαῖον	adjective	lex37.1_Αἰγαῖος
Αἰγεῖ	noun	lex33.1_Αἰγίς
Αἰγεῖ	noun	lex42.1_Αἰγεύς
Αἰγιάλειαν	noun	lex45.1_Αἰγιάλεια
Αἰγιαλόν	noun	lex49.1_Αἰγιαλός
Αἰγιαλός	noun	lex49.1_Αἰγιαλός
Αἰγυπτίων	adjective	lex76.1_Αἰγύπτιος
Αἰγυπτίων	verb	lex70.1_Αἰγυπτιόω
Αἰγυπτίων	verb	lex70.1_Αἰγυπτιόω
Αἰγυπτίων	adjective	lex76.1_Αἰγύπτιος
Αἰγύπτια	adjective	lex76.1_Αἰγύπτιος
Αἰγύπτου	noun	lex188.1_Αἴγυπτος
Αἰγύπτῳ	noun	lex188.1_Αἴγυπτος
Αἰγίσθου	noun	lex185.1_Αἴγισθος
Αἰγύπτιοι	adjective	lex76.1_Αἰγύπτιος
Αἰγύπτου	noun	lex188.1_Αἴγυπτος
Αἰδοῦς	noun	lex11732.1_αἰδώς
Αἰδοῦς	noun	lex11731.1_αἰδώ
Αἰθίοπας	noun	lex84.1_Αἰθίοψ
Αἰθίοπες	noun	lex84.1_Αἰθίοψ
Αἰθιοπίαν	adjective	lex94.1_Αἰθιόπιος
Αἰθιοπίαν	noun	lex90.1_Αἰθιοπία
Αἰθιοπῆας	noun	lex84.1_Αἰθίοψ
Αἰθιόπεσσιν	noun	lex84.1_Αἰθίοψ
Αἰνεία	noun	lex114.1_Αἰνείας
Αἰνείαν	noun	lex114.1_Αἰνείας
Αἰνείαο	noun	lex114.1_Αἰνείας
Αἰνείας	noun	lex114.1_Αἰνείας
Αἰνείου	noun	lex114.1_Αἰνείας
Αἰνείω	noun	lex114.1_Αἰνείας
Αἰνείας	noun	lex114.1_Αἰνείας
Αἰνόπαρις	noun	lex122.1_Αἰνόπαρις
Αἰνόπαρις	noun	lex11877.1_αἰνόπαρις
Αἰολίδα	noun	lex129.1_Αἰολεύς
Αἰολίδα	noun	lex125.1_Αἰολίδης
Αἰολίδα	noun	lex127.1_Αἰολίς
Αἰολίδη	noun	lex125.1_Αἰολίδης
Αἰολεῖς	noun	lex129.1_Αἰολεύς
Αἰολική	adjective	lex130.1_Αἰολικός
Αἰολικοῦ	adjective	lex130.1_Αἰολικός
Αἰολικωτέρα	adjective	lex130.1_Αἰολικός
Αἰολικόν	adjective	lex130.1_Αἰολικός
Αἰολικὸν	adjective	lex130.1_Αἰολικός
Αἰολικὸς	adjective	lex130.1_Αἰολικός
Αἰολικῶς	adjective	lex130.1_Αἰολικός
Αἰολὶς	noun	lex129.1_Αἰολεύς
Αἰολὶς	noun	lex127.1_Αἰολίς
Αἰολίδα	noun	lex125.1_Αἰολίδης
Αἰολίδα	noun	lex127.1_Αἰολίς
Αἰολίδα	noun	lex129.1_Αἰολεύς
Αἰπύ	adjective	lex11932.1_αἰπύς
Αἰπύ	noun	lex131.1_Αἰπύ
Αἰπὺ	adjective	lex11932.1_αἰπύς
Αἰπὺ	noun	lex131.1_Αἰπύ
Αἰσήποιο	noun	lex209.1_Αἴσηπος
Αἰσχρίων	noun	lex144.1_Αἰσχρίων
Αἰσχρίωνι	noun	lex144.1_Αἰσχρίων
Αἰσχύλος	noun	lex150.1_Αἰσχύλος
Αἰσχύλῳ	noun	lex150.1_Αἰσχύλος
Αἰσχύλος	noun	lex150.1_Αἰσχύλος
Αἰσχύλῳ	noun	lex150.1_Αἰσχύλος
Αἰτίω	verb	lex12011.1_αἰτέω
Αἰτίω	adjective	lex12270.1_αἴτιος
Αἰτωλίαν	noun	lex158.1_Αἰτωλία
Αἰτωλίαν	adjective	lex164.1_Αἰτώλιος
Αἰτωλίαν	noun	lex159.1_Αἰτωλίη
Αἰτωλίας	noun	lex158.1_Αἰτωλία
Αἰτωλίας	adjective	lex164.1_Αἰτώλιος
Αἰτωλίας	noun	lex159.1_Αἰτωλίη
Αἰτωλοί	noun	lex162.1_Αἰτωλοί
Αἰτωλοί	adjective	lex163.1_Αἰτωλός
Αἰτωλοὶ	adjective	lex163.1_Αἰτωλός
Αἰτωλοὶ	noun	lex162.1_Αἰτωλοί
Αἰτωλοῖς	adjective	lex163.1_Αἰτωλός
Αἰτωλοῖς	noun	lex162.1_Αἰτωλοί
Αἰτωλῶν	noun	lex162.1_Αἰτωλοί
Αἰτωλῶν	adjective	lex163.1_Αἰτωλός
Αἰόλου	adjective	lex12073.1_αἰόλος
Αἰόλου	noun	lex205.1_Αἴολος
Αἰάντεσσιν	verb	lex11607.1_αἰάζω
Αἰάντεσσιν	noun	lex175.1_Αἴας
Αἱμονίδης	noun	lex170.1_Αἱμονίδης
Αἴαντα	noun	lex175.1_Αἴας
Αἴαντας	noun	lex175.1_Αἴας
Αἴαντες	noun	lex175.1_Αἴας
Αἴαντι	noun	lex175.1_Αἴας
Αἴαντος	noun	lex175.1_Αἴας
Αἴας	noun	lex175.1_Αἴας
Αἴας	noun	lex220.1_Αἶα
Αἴας	noun	lex12276.1_αἶα
Αἴγειον	adjective	lex176.1_Αἴγειος
Αἴγιναν	noun	lex182.1_Αἴγινα
Αἴγυπτον	noun	lex188.1_Αἴγυπτος
Αἴγυπτος	noun	lex188.1_Αἴγυπτος
Αἴγύπτον	noun	lex188.1_Αἴγυπτος
Αἴθρα	noun	lex194.1_Αἴθρη
Αἴθρα	noun	lex12239.1_αἴθρη
Αἴθραν	noun	lex12239.1_αἴθρη
Αἴθραν	noun	lex194.1_Αἴθρη
Αἴθρας	noun	lex12239.1_αἴθρη
Αἴθρας	noun	lex194.1_Αἴθρη
Αἴθρη	noun	lex12239.1_αἴθρη
Αἴθρη	noun	lex194.1_Αἴθρη
Αἴθρῃ	noun	lex12239.1_αἴθρη
Αἴθρῃ	noun	lex194.1_Αἴθρη
Αἴθων	noun	lex12277.1_αἶθος
Αἴθων	noun	lex11774.1_αἰθος
Αἴθων	noun	lex197.1_Αἴθων
Αἴθων	verb	lex12244.1_αἴθω
Αἴθων	adjective	lex12245.1_αἴθων
Αἴσηπον	noun	lex209.1_Αἴσηπος
Αἶαν	noun	lex12276.1_αἶα
Αἶαν	noun	lex220.1_Αἶα
Αἶαν	noun	lex175.1_Αἴας
Αὐγέα	noun	lex230.1_Αὐγέας
Αὐγέα	adjective	lex12302.1_αὐγής
Αὐγέας	noun	lex230.1_Αὐγέας
Αὐγέας	adjective	lex12302.1_αὐγής
Αὐγέου	noun	lex230.1_Αὐγέας
Αὐγείας	noun	lex231.1_Αὐγείας
Αὐγείου	noun	lex231.1_Αὐγείας
Αὐγειάς	noun	lex232.1_Αὐγειαί
Αὐλίδα	noun	lex245.1_Αὐλίς
Αὐλίδι	noun	lex245.1_Αὐλίς
Αὐλίδος	noun	lex245.1_Αὐλίς
Αὐλὶς	noun	lex245.1_Αὐλίς
Αὐλίδι	noun	lex245.1_Αὐλίς
Αὐτομέδοντος	noun	lex273.1_Αὐτομέδων
Αὐτομέδων	noun	lex273.1_Αὐτομέδων
Αὐτόλυκος	noun	lex286.1_Αὐτόλυκος
Αὐτόμεδον	noun	lex273.1_Αὐτομέδων
Αὔγης	noun	lex296.1_Αὔγη
Αὔγης	verb	lex12299.1_αὐγέω
Αὖλιν	noun	lex13044.1_αὖλις
Βάκχαις	noun	lex330.1_Βάκχη
Βακχυλίδη	noun	lex468.1_Βακχυλίδης
Βαλίε	noun	lex471.1_Βαλίος
Βατίειαν	noun	lex517.1_Βατίεια
Βελλεροφόντην	noun	lex539.1_Βελλεροφόντης
Βελλεροφόντης	noun	lex539.1_Βελλεροφόντης
Βελλεροφόντου	noun	lex539.1_Βελλεροφόντης
Βοηθοίδης	noun	http://data.perseus.org/collections/_Βοηθοΐδης
Βοιωτία	adjective	lex653.1_Βοιώτιος
Βοιωτία	noun	lex642.1_Βοιωτία
Βοιωτίαν	adjective	lex653.1_Βοιώτιος
Βοιωτίαν	noun	lex642.1_Βοιωτία
Βοιωτίας	noun	lex642.1_Βοιωτία
Βοιωτίας	adjective	lex653.1_Βοιώτιος
Βοιωτίης	adjective	lex653.1_Βοιώτιος
Βοιωτίης	noun	lex642.1_Βοιωτία
Βοιωτίᾳ	adjective	lex653.1_Βοιώτιος
Βοιωτίᾳ	noun	lex642.1_Βοιωτία
Βοιωτιακὴ	adjective	lex648.1_Βοιωτιακός
Βοιωτιακὸς	adjective	lex648.1_Βοιωτιακός
Βοιωτοὺς	noun	lex651.1_Βοιωτός
Βοιωτοῦ	noun	lex651.1_Βοιωτός
Βοιωτός	noun	lex651.1_Βοιωτός
Βοιωτία	noun	lex642.1_Βοιωτία
Βοιωτία	adjective	lex653.1_Βοιώτιος
Βοιωτίας	noun	lex642.1_Βοιωτία
Βοιωτίας	adjective	lex653.1_Βοιώτιος
Βοιωτός	noun	lex651.1_Βοιωτός
Βοιωτῶν	noun	lex651.1_Βοιωτός
Βοιωτῷ	noun	lex651.1_Βοιωτός
Βοιώτιος	adjective	lex653.1_Βοιώτιος
Βορέης	noun	lex670.1_Βορέης
Βορέης	noun	lex667.1_Βορέας
Βορέου	noun	lex667.1_Βορέας
Βορέου	noun	lex670.1_Βορέης
Βορέας	noun	lex670.1_Βορέης
Βορέας	noun	lex667.1_Βορέας
Βοσπόρου	noun	lex869.1_Βόσπορος
Βουπράσιον	noun	lex727.1_Βουπράσιος
Βούτα	noun	lex14767.1_βούτης
Βούτα	noun	lex759.1_Βούτης
Βοώτου	noun	lex14786.1_βοώτης
Βοώτου	noun	lex765.1_Βοώτης
Βριάρεω	noun	lex808.1_Βριάρεως
Βριάρεων	noun	lex808.1_Βριάρεως
